student_id,FIO,Sinf,recommended_direction,recommendation_confidence,alternative_direction,alternative_confidence
OQ-05679,Tursunov Jasurbek Hasan o‘g‘li,11-sinf,Tibbiyot,1.0,Iqtisodiyot,1.862378433428316e-18
OQ-11399,Eshonqulova Oysara Meli qizi,11-sinf,Pedagogika,1.0,Tibbiyot,1.075256409592508e-18
OQ-11355,Eshonqulov Sherzod Zokir o‘g‘li,11-sinf,Tibbiyot,1.0,IT,6.650317862817788e-23
OQ-11334,Saidova Ruxshona To‘xtay qizi,11-sinf,Tibbiyot,1.0,Iqtisodiyot,8.04559633175895e-21
OQ-19963,Meliyeva Zuhra Norboy qizi,11-sinf,Pedagogika,1.0,Iqtisodiyot,1.1508658698714761e-23
OQ-11340,Rasulova Madinabonu Bekmurod qizi 11340,11-sinf,Tibbiyot,1.0,Muhandislik,2.477975506395558e-19
OQ-10067,Sattorova Marjona Rahim qizi,11-sinf,Tibbiyot,1.0,Iqtisodiyot,8.16253690676506e-17
OQ-18768,Eshonqulov Doniyor Bahrom o‘g‘li,11-sinf,Pedagogika,1.0,Iqtisodiyot,1.9829703282889984e-18
OQ-18822,To‘xtayev Jasurbek Sobir o‘g‘li 18822,11-sinf,Pedagogika,1.0,Iqtisodiyot,2.333134543816506e-22
OQ-15086,Ahmedov Akmal Usmon o‘g‘li,11-sinf,Tibbiyot,1.0,Muhandislik,5.955519863450937e-18
OQ-11429,Ahmedov Nodir Shukur o‘g‘li,11-sinf,Tibbiyot,1.0,Muhandislik,1.9643415031307522e-18
OQ-16502,Saidova Laylo Zokir qizi,11-sinf,Tibbiyot,1.0,Iqtisodiyot,3.1684413070517324e-21
OQ-16427,Ibragimova Shirin Rahim qizi,11-sinf,Tibbiyot,1.0,Iqtisodiyot,3.247309392002962e-20
OQ-11783,Hamroyeva Oydin Nazar qizi,11-sinf,Tibbiyot,1.0,IT,6.904303044019563e-18
OQ-07379,Sobirov Muhammadali Ibrohim o‘g‘li,11-sinf,Pedagogika,1.0,Iqtisodiyot,5.701622992829081e-22
OQ-07364,Xudoyberdiyev Yusufbek Said o‘g‘li 7364,11-sinf,Tibbiyot,1.0,Muhandislik,5.38286345867891e-18
OQ-07321,Sobirova Zuhra Hasan qizi,11-sinf,Tibbiyot,1.0,Iqtisodiyot,2.5471714534353388e-21
OQ-16514,Abdurahmonova Gulnora Sobir qizi,11-sinf,Tibbiyot,1.0,Iqtisodiyot,5.2349059751636197e-17
OQ-16531,Mahmudov Zafarbek Hamro o‘g‘li,11-sinf,Tibbiyot,1.0,Pedagogika,2.5605508394575493e-25
OQ-16492,Mahmudova Xadicha Usmon qizi,11-sinf,Tibbiyot,1.0,Iqtisodiyot,5.870184581406301e-20
